"","Lane","DROPLET.TYPE","n"
"1",1,"SNG",14310
"2",2,"SNG",13951
"3",3,"SNG",13856
"4",4,"SNG",846
"5",5,"SNG",17029
"6",6,"SNG",17537
"7",7,"SNG",18935
"8",8,"SNG",19224
"9",9,"SNG",7655
"10",10,"SNG",12452
"11",11,"SNG",13450
"12",12,"SNG",2361
"13",13,"SNG",14309
"14",14,"SNG",14206
"15",15,"SNG",13875
"16",16,"SNG",14420
"17",17,"SNG",14187
"18",18,"SNG",14186
"19",19,"SNG",14247
"20",20,"SNG",426
"21",21,"SNG",19987
"22",22,"SNG",20410
"23",23,"SNG",18248
"24",24,"SNG",17744
